,cable_center_deviation_force,deck_center_deviation_force,hangar_force,deck_deviation_force,cable_deviation_force,tower_force,tower_brace_force,deck_rise,cable_deck_midspan_distance,tower_base_x_offset,tower_base_y_offset,twist_offset,nN,nT,nD,loadX,loadY,loadZ,posX_min,posX_max,posX_mean,posX_std,posX_skew,posX_kurt,posY_min,posY_max,posY_mean,posY_std,posY_skew,posY_kurt,posZ_min,posZ_max,posZ_mean,posZ_std,posZ_skew,posZ_kurt,traLen_min,traLen_max,traLen_mean,traLen_std,traLen_skew,traLen_kurt,traMag_min,traMag_max,traMag_mean,traMag_std,traMag_skew,traMag_kurt,devLen_min,devLen_max,devLen_mean,devLen_std,devLen_skew,devLen_kurt,devMag_min,devMag_max,devMag_mean,devMag_std,devMag_skew,devMag_kurt,load_path,maximum_deck_inclination
3159,10.0035220602786,-1.3962582614663517,0.8745001845077883,0.0543947494448455,0.1296884200785717,-16.211387824465874,-2.642052116651409,10.008716836030615,8.08780024051856,6.874938393528116,3.031085771808784,0,76,64,66,0.0,0.0,-1.0,-182.7076780213229,17.12830934979729,-82.78968433576277,41.52969669067912,-1.2109563474662485e-15,-0.31811156634104965,-2.3771678640126623,11.81400765782344,4.718419896905392,4.276323905602386,-9.447770544882698e-16,-1.3808848587645477,-3.48638247673227,35.27147277171062,12.139485470829266,11.707864630294038,0.4172315366506816,-1.1125892179552332,0.1019043652662393,59.13892869552714,10.2132665006371,12.76373686258463,3.479310594063775,10.520117232872456,-16.2113878245,16.446146360255657,4.26726257660933,8.176766840118614,-0.683753658523225,0.04125899907430819,4.889997404069163,35.8412660828008,13.849295368438522,9.771807014516497,1.242027457490767,0.16732907088916926,-16.2113878245,10.0035220603,-0.3916963393042851,4.405232821327613,-2.402320349958925,8.02406190412116,9515.440961939012,32.81460896920295
3160,4.318262187434167,-1.6425272400084538,0.8627862446572302,0.0686822315876634,0.1325814347353253,-24.38941089399521,-2.3438343695817574,8.877207273166546,6.586669614518823,4.01046820539875,3.776716102460124,0,76,64,66,0.0,0.0,-1.0,-153.8539490200319,-11.725419651493212,-82.78968433576274,37.76762452525312,1.5212175368355402e-15,-1.1203332679959797,-8.105945240997826,17.54278503480859,4.7184198969053845,5.770702833020155,-1.1051041785463417e-15,-0.5316014121223938,-3.8065065638949793,54.62321713637306,14.20905215142026,16.36661707589282,1.049116732060924,0.07786475519510994,0.1007818161257626,58.417918382988574,10.999397368447248,12.49561156357075,3.3595226542953105,10.001451453223442,-24.389410894,19.46730103624762,1.6805985024932422,8.625056409826108,-1.1449909839056103,3.3879510028157958,5.098101804749657,54.94948844022928,17.973112925386307,15.367580741437774,1.2830489987732914,0.358912733097164,-24.389410894,4.31826218743,-1.059365700627367,6.005221971224426,-3.51524474194824,10.830415998876555,12631.016556850487,31.398341270478195
3161,10.593586622822992,-1.83456686378362,0.92993701444531,-0.0570107461483122,-0.0919320905266828,-20.660601825584592,-4.203999725155917,12.452127501952138,2.992732709340248,0.6110483847802972,0.5546111921906449,0,76,64,66,0.0,0.0,-1.0,-161.0796075570779,-4.49976111444721,-82.78968433576273,40.1621001694353,6.833530679890479e-15,-0.9659844825517725,-2.059193607583069,11.496033401393872,4.718419896905389,3.4871578234766982,9.19110341761857e-16,-1.4073904152735695,0.0,32.67781896174512,12.99718492086904,9.351530582413744,0.3017503041381646,-0.6081951361207683,0.1005870873783553,42.11509242228576,10.137004969944305,9.443644136027876,2.541868595015412,5.622249377410537,-20.6606018256,18.11416063944903,4.004029827566009,9.461322862875065,-0.7924344435969265,0.42939758376049886,1.1803019407739654,32.769079225012554,9.47168538502958,7.639036723426463,1.8684657546140973,2.8371571354959766,-20.6606018256,10.5935866228,-0.7512019779343944,5.451024615560776,-2.6744562802610448,8.362799798915871,9150.16297557059,15.682600023437727
3162,3.323642771448458,-1.85395211637372,0.8656479542470926,0.0822618719682561,0.0430416818103382,-24.04174795246238,-1.792237341665206,13.509701656529964,3.8759472259321535,2.5157206002570587,1.2302514399109097,0,76,64,66,0.0,0.0,-1.0,-151.61716151672772,-13.962207154799216,-82.78968433576279,38.01403077218859,-4.872837956562164e-15,-1.194649214335515,-5.154186206655069,14.591026000465831,4.718419896905389,4.5297376637530675,-6.686761061121644e-16,-0.6524115306624463,-1.3877787807814457e-17,68.49273102495886,18.849594405333786,19.243853882707977,1.1811893426641966,0.4880932741534787,0.1003477789461729,71.12090311383966,12.149817341876947,15.552120147695947,3.3587230497063363,9.949670892620851,-24.0417479525,18.61758288186825,0.9817896657816231,8.36331566082309,-1.0462894372749798,3.2875792017289687,3.355984389408551,68.63058654417569,18.069023786827838,18.63684888942703,1.5699580019471,1.2922959767077282,-24.0417479525,3.32364277145,-1.0730256471418729,5.893660325006437,-3.5567363520787763,10.995463535577313,14550.936447319456,27.64726423088973
3163,14.403903122172066,-1.94916158385508,0.8845216092584206,-0.1569440926900349,-0.0187341167426237,-22.524590295841573,-1.2623050974622112,13.855600783444409,0.7205483611535445,13.426949496703212,0.3690698431745076,0,76,64,66,0.0,0.0,-1.0,-182.29901241294465,16.71964374141953,-82.78968433576279,43.269010669982464,2.0279766753508957e-15,-0.46836010599893774,-0.2317133841292573,9.668553177940067,4.718419896905395,3.5037833495380113,1.7040445349143194e-15,-1.7446913747526875,0.0,26.42042997173263,11.674446810683468,7.9787786302227355,-0.07358258180083516,-0.969132190763693,0.1126886627692304,53.700304252641146,9.82022358334821,11.470268293830987,3.4522884523676414,10.42020757093356,-22.5245902958,28.26101157369116,5.997601066855257,12.043899770709487,-0.38573102299632883,-0.08355545643000584,0.7205483611535435,29.660140570259173,8.68668095259724,6.989070671368813,1.7080308570712932,2.5738449062092954,-22.5245902958,14.4039031222,-0.687975426882915,6.087962154854907,-2.3276911793336352,8.177957622733006,12686.917695617409,25.17138632729324
3164,14.123600533436193,-1.928442272873947,0.867834708631948,-0.1026804972945097,0.1420557604013599,-16.072751368552836,-2.9095853349617338,8.218037592885635,8.176659116591157,9.001927914528416,2.708089757285697,0,76,64,66,0.0,0.0,-1.0,-193.94105255537212,28.36168388384567,-82.78968433576281,43.38174262056888,-8.337295387814587e-15,0.1011593594124629,-3.06325139569336,12.50009118950416,4.718419896905392,5.057874575221287,1.3873105009632179e-15,-1.6195140589692425,-2.071494490162543,28.463199779863004,10.405673823585973,9.721566070424318,0.34277444468035084,-1.312176053244411,0.105042802720516,65.14621708723737,10.30997161852929,14.274744382650745,3.508773871474517,10.630050935742618,-16.0727513686,21.1770847111239,6.107378726009818,10.12705715308429,-0.38356650554885313,-0.8753410031025788,7.0352406178177205,29.7934999899896,13.128059780800756,7.075663787158595,1.2563639732733927,0.2860139626934184,-16.0727513686,14.1236005334,-0.31620051663757587,4.7219246566008986,-1.3846015029010614,7.169149486599766,11519.348764722814,26.25924236752609
3165,12.75133881751835,-1.3419970347434802,0.9095274204070694,0.0430726970513685,0.0153211063138867,-18.95296390684325,-3.473412960986756,14.596753653896435,7.992070431921706,12.383123375845615,1.756340630001415,0,76,64,66,0.0,0.0,-1.0,-195.088655368927,29.509286697400512,-82.78968433576277,44.83542405107712,-8.353264399785202e-15,-0.026212253326513224,-0.5581874055033132,9.99502719931409,4.7184198969053925,3.6125682408497792,-1.1164437005295126e-15,-1.7680075581181858,0.0,36.62331479909821,15.70181476597495,11.691943541435503,0.12336559848089677,-1.2260675549067444,0.1056244881197693,70.37110612017038,11.01926356638144,15.45031234748233,3.509793079754059,10.628562037113598,-18.9529639068,22.263452033254055,5.444976308954466,10.150201451930931,-0.5068140508373725,-0.18477805733884844,4.782416240979622,38.5775643009191,12.516368571725165,9.234786995005384,1.6238629283950978,1.6089453029395546,-18.9529639068,12.7513388175,-0.509935105532573,5.2162530176146955,-2.1775129696245825,7.742749616948192,12939.35173182469,25.596353651932176
3166,9.243087613666953,-1.821140345486915,0.9041699207400864,-0.1432084345962709,0.0364600816336974,-22.70775503015725,-1.7722384189066815,10.914383669739706,7.3176342435595005,15.505479040936546,4.796939309793904,0,76,64,66,0.0,0.0,-1.0,-181.6607602448776,16.081391573352448,-82.78968433576273,43.44934007371656,2.8571854368379633e-15,-0.48342738004389174,-4.205128176253979,13.64196797006477,4.718419896905392,5.573313050867654,-4.838873931728856e-16,-1.3490341569207736,0.0,37.346028136734986,13.583999165770509,11.419374177397062,0.4928209859216646,-0.8863314658220189,0.1095092372441643,59.38774608831482,10.223143500259738,12.823139103434226,3.4822670536200304,10.531951159609353,-22.7077550302,23.024416602996737,3.593172267504137,9.922557763735695,-0.6437280658557233,1.1288055226986344,4.635536454758455,40.787841316284826,13.806065148371129,9.629359014678503,1.5386291507840477,1.4923655155448596,-22.7077550302,9.24308761367,-0.8440806300456396,5.802984964886333,-3.0697805664534323,9.492815821727223,12338.505551541111,22.194639714669
3167,12.542545142215433,-1.929668352460399,0.9220038019168896,-0.1408538944848802,-0.0960404310665604,-22.877409774855195,-3.6436810585594,10.272453272145835,4.868239307245419,1.3524147871942005,0.0445516180485039,0,76,64,66,0.0,0.0,-1.0,-160.0163670154634,-5.56300165606217,-82.78968433576277,39.059439428480076,-4.369859300066296e-16,-1.0460998860440134,-0.9265874524856316,10.363427246296425,4.71841989690539,3.9795196301165086,-3.560376281962373e-17,-1.6066355576616933,-1.3877787807814457e-17,29.42805209695908,11.496604890980803,8.88404954492731,0.3397199038752422,-0.913754912271346,0.1008180112092925,38.56831691664953,9.016573995526647,7.88576334499911,3.1906049122687663,9.43075328695393,-22.8774097749,21.42483967691024,4.825933070709709,10.786219662723008,-0.7324999001166769,0.3036251908681291,0.1099229851717638,29.56795885057897,10.406109686886868,7.058425888501436,1.3532467695893924,1.2365888037103607,-22.8774097749,12.5425451422,-0.8344191172922182,6.0557899212440125,-2.5884358006851107,8.36536174748413,9726.470292973716,18.765092848541872
3168,14.222434884952232,-1.7057280218562645,0.8853144044281783,0.0746204634670824,0.0548848124010664,-15.406205996286802,-4.040784916857935,12.35085563123372,8.145251619396078,3.568203888668016,2.803673605373737,0,76,64,66,0.0,0.0,-1.0,-192.49661773722076,26.91724906569448,-82.7896843357628,42.89173638817157,-7.432461635197639e-15,0.03751792505601115,-1.6067368780353446,11.043576671846122,4.718419896905391,3.799739450205494,-1.6677519762664028e-15,-1.4357601390392232,0.0,32.71936884529683,13.701890153341346,10.746430422827913,0.17237751997716733,-1.3238474230096047,0.100670658472021,66.3044974491229,10.394531710164499,14.546858683588665,3.5152603542329866,10.656821494537208,-15.4062059963,18.509999879806426,5.871143464038775,9.929966917790837,-0.37028790662560734,-1.0783085683237634,2.900631193435625,32.83813340597704,11.98307572888135,8.241731243936869,1.311137649579608,0.609493289206394,-15.4062059963,14.222434885,-0.27380458949244246,4.621348688261383,-1.202975599316384,6.916590482682842,11010.718145494016,25.963190454864638
